Res Num,Last Name,Number in Party,Num Kids,Room Pref,AP,TiW,Visit Num,Last Visit,Average Season,Num Complaint,Prev Satisfaction (out of 10),Avg Park Entry (nearest hour),Avg Park Exit (nearest hour),Age Range,Average Room Service Spend,Average In Hotel Spend,Favorite Park,Reservation Made,Income,Race,Home State,Celebrating,Allergies,View Preference,Weight,Sleeping,Web/Phone,Travel Agent,Group Res? (linked res in parens),DDP,Travel Frequency,Favorite Character,Food service preference,Flight Res,Length of Stay,Avg Park Day (nearest hour duration),MMH freq,EMH freq,Elevator Pref,Crib/Rail,Refrigerator,Pool Usage,Frequent Attraction,OCD,Special Event,Special Needs,Grocery Delivery,Typical Stay
11,Christian Krings,2,1,2QNS,n,n,3,2002,Value,14,9,10,17,4 to 38,9,16,MK,Feb,65k,Asian,NC,n,n,Courtyard,202,LL,W,y,n,y,Occasionally,Goofy,QS,United,8,11,Never,Never,None,None,y,Occasionally,Voyage of the Little Mermaid,y,n,n,n,2QNSSV
12,Milagros Marquess,1,0,KNS,n,n,1,2008,Regular,8,8,10,18,33,7,27,EP,Sep,40k,White,VA,n,n,Courtyard,182,EL,W,y,n,y,Never,Jafar,QS,AirTran,8,7,Frequently,Occasionally,Far,None,y,Rarely,Maelstrom,n,n,n,n,KNSCV
13,Melisa Dezern,6,5,KNS,n,n,13,1994,Value,5,8,11,19,15 to 59,28,13,MK,Jul,100k,Other,PA,n,n,Woods,208,EE,W,n,n,y,Never,Ursula,TS,Delta,8,11,Occasionally,Never,None,None,y,Frequently,Buzz Lightyear's Space Ranger Spin,n,y,n,n,KNSWV
14,Hugh Yarman,6,4,2QS,n,n,12,1971,Regular,1,7,9,19,20 to 47,29,9,AK,Jul,The 1 percent,White,MD,n,y (environmental),Woods,149,LL,W,n,n,y,Never,Scar,Snack,US Air,8,5,Rarely,Never,None,None,n,Rarely,Jungle Cruise,y,n,n,y,SUNSCV
15,Malinda Fleitas,4,3,SUNS,n,n,2,1979,Value,8,7,11,18,13 to 26,29,15,MK,Oct,85k,NR,VA,y (graduation),n,Standard,223,LL,W,y,n,n,Occasionally,Donald,TS,Southwest,8,8,Rarely,Occasionally,None,None,y,Rarely,Mad Tea Party,n,n,n,n,2QNSSV
16,Jamie Spraggins,1,1,KNS,n,n,6,2008,Value,2,10,9,18,16,0,28,MK,Jan,The 1 percent,Asian,VA,n,n,Woods,198,LL,P,y,n,y,Frequently,Pete,Snack,American,5,11,Occasionally,Never,None,None,y,Rarely,Space Mountain,n,n,n,n,2QNSWV
17,Tania Wigton,5,2,2QNS,n,n,2,2000,Regular,2,7,8,17,11 to 26,28,13,HS,May,The 1 percent,White,PA,n,y (environmental),Woods,233,LL,P,n,n,n,Occasionally,Jafar,TS,Delta,6,12,Occasionally,Occasionally,None,None,y,Occasionally,Dumbo the Flying Elephant,n,n,n,y,SUSSV
18,Christian Heckart,2,1,SUNS,y,y,9,1972,Value,5,7,12,17,8 to 67,4,4,MK,Aug,85k,African American,VT,n,n,Standard,149,EE,W,y,n,y,Rarely,Mickey,QS,AirTran,3,11,Never,Occasionally,None,None,y,Rarely,Space Mountain,n,n,n,n,SUNSCV
19,Lonnie Ragon,3,2,SUNS,n,n,8,2010,Peak,13,7,8,16,12 to 36,13,12,MK,May,65k,Asian,NC,n,n,Standard,236,EL,W,n,n,y,Frequently,Scar,TS,US Air,7,4,Occasionally,Occasionally,None,None,y,Occasionally,Journey into Imagination,y,n,n,n,KNSSV
20,Tabatha Poutre,1,0,2QNS,y,n,4,1971,Regular,2,7,9,19,57,10,14,EP,Jun,85k,NR,MA,y (wedding/anniversary),n,Woods,192,EL,W,n,n,y,Rarely,Iago,Snack,NA,8,6,Rarely,Rarely,None,None,n,Frequently,Flights of Wonder,n,y,n,y,2QSSV
21,Jerri Goggins,5,4,KNS,y,y,2,2006,Regular,1,6,8,17,5 to 56,18,29,EP,Jul,85k,African American,SC,n,n,No Pref,156,LL,P,y,n,y,Rarely,Donald,TS,United,7,12,Rarely,Frequently,None,Both,n,Rarely,Voyage of the Little Mermaid,y,n,y (sight impaired),n,SUSCV
22,Clayton Weatherbee,4,2,SUS,n,n,6,1973,Regular,13,9,9,17,15 to 67,3,25,EP,Feb,65k,Asian,PA,n,y (animals),Woods,209,LL,P,n,n,y,Rarely,Goofy,QS,AirTran,3,4,Occasionally,Never,Far,None,y,Frequently,Jungle Cruise,n,n,n,n,2QNSWV
23,Lance Turpen,2,2,KS,n,n,7,1985,Value,3,6,10,18,10 to 18,6,27,EP,Jan,40k,White,FL,n,n,Courtyard,161,EL,P,n,n,y,Rarely,Jafar,QS,US Air,4,11,Occasionally,Occasionally,None,None,n,Occasionally,Buzz Lightyear's Space Ranger Spin,n,n,n,y,KNSCV
24,Darryl Feth,6,4,KNS,n,n,3,1993,Value,4,6,12,16,18 to 57,26,4,MK,May,The 1 percent,African American,MD,n,n,No Pref,206,LL,W,y,n,n,Never,Iago,Snack,Delta,5,5,Never,Never,None,None,n,Occasionally,Big Thunder Mountain,n,y,n,n,2QNSWV
25,Clayton Stake,6,6,SUS,n,n,12,1973,Peak,11,9,9,16,17 to 58,15,12,MK,May,NR,NR,GA,y (graduation),n,Standard,161,LL,W,y,n,y,Frequently,Iago,QS,Southwest,6,5,Occasionally,Rarely,None,None,y,Frequently,Journey into Imagination,n,y,n,n,2QNSSV
26,Marcie Nylander,1,0,KNS,n,n,5,1993,Peak,10,9,12,18,32,15,0,EP,Aug,40k,NR,WV,y (graduation),y (environmental),Standard,208,EE,P,n,n,y,Frequently,Goofy,QS,Avianca,4,8,Rarely,Occasionally,Far,None,n,Occasionally,Nap Time with Ben Franklin and Mark Twain,y,y,n,n,KNSCV
27,Julianne Hanchett,6,1,KNS,n,n,10,1980,Regular,3,7,11,16,20 to 67,7,22,EP,May,The 1 percent,Other,TN,n,n,Courtyard,195,EE,W,n,n,n,Rarely,Ursula,QS,Avianca,5,4,Rarely,Never,Near,None,n,Rarely,Voyage of the Little Mermaid,y,n,n,n,2QNSCV
28,Wagnon,1,0,KNS,y,n,4,1981,Value,3,7,12,16,21,28,10,AK,Mar,100k,White,RI,n,n,Woods,154,EL,W,n,n,y,Frequently,Jafar,TS,JetBlue,7,7,Never,Rarely,None,None,y,Rarely,Haunted Mansion,n,y,n,n,2QNSSV
29,Max Burghart,5,4,KNS,n,n,0,NA,Regular,0,-,-,-,6 to 60,18,1,MK,Sep,40k,Other,VA,n,n,Standard,209,EE,W,y,n,y,Rarely,Scar,QS,NA,3,4,Frequently,Never,None,None,y,Rarely,Spaceship Earth,n,n,n,y,NA
30,Neil Mckelvy,3,1,KNS,n,n,4,1992,Regular,0,7,12,16,9 to 23,22,24,AK,Apr,NR,NR,MD,y (wedding/anniversary),n,Woods,214,EL,W,y,"y (51, 63)",y,Never,Scar,QS,NA,3,4,Never,Rarely,None,None,y,Rarely,Journey into Imagination,n,n,y (hearing impaired),n,2QNSSV
31,Clayton Shepler,4,3,KNS,n,n,9,2005,Regular,5,8,11,18,9 to 25,17,6,EP,Jul,The 1 percent,Asian,MS,n,n,No Pref,190,LL,P,n,n,y,Occasionally,Donald,TS,NA,5,8,Rarely,Occasionally,Near,None,y,Frequently,Space Mountain,n,y,n,y,KNSWV
32,Gay Shur,2,1,2QNS,n,n,11,1983,Value,2,10,10,16,2 to 36,4,22,AK,Apr,65k,White,OH,n,n,Woods,141,EL,W,n,n,y,Frequently,Hook,QS,Delta,3,7,Rarely,Rarely,None,Crib,n,Rarely,Flights of Wonder,n,n,n,y,KNSCV
33,Kenya Cybart,6,3,KNS,n,n,12,1975,Value,13,10,11,17,3 to 43,19,12,HS,Apr,NR,African American,TN,n,n,Courtyard,233,EL,W,n,n,n,Frequently,Hook,QS,United,8,9,Rarely,Occasionally,Near,Crib,y,Occasionally,Big Thunder Mountain,n,n,n,y,KNSCV
34,Allan Beesley,6,3,KS,n,n,0,NA,Value,0,-,-,-,18 to 33,2,1,AK,Apr,85k,White,SC,n,n,Courtyard,205,EE,W,n,n,y,Rarely,Hook,TS,Avianca,7,4,Never,Never,None,None,y,Occasionally,Mad Tea Party,n,n,n,y,NA
35,Jamie Pierro,2,0,KNS,n,n,7,1987,Value,7,6,12,18,18 to 31,21,17,AK,Sep,65k,Asian,VT,n,n,Standard,216,EE,W,y,n,y,Never,Iago,TS,JetBlue,7,6,Never,Occasionally,None,None,y,Occasionally,Toy Story Mania,n,n,n,n,SUNSCV
36,Sharron Gano,6,1,SUS,n,n,5,1996,Value,5,7,11,16,7 to 66,20,3,AK,Jul,100k,Other,MD,n,n,Woods,160,LL,W,y,n,y,Occasionally,Iago,QS,US Air,3,8,Rarely,Frequently,Far,None,n,Rarely,Voyage of the Little Mermaid,n,y,n,n,SUSSV
37,Lakisha Buelow,1,1,KNS,n,n,5,1985,Peak,14,6,11,17,14,25,26,MK,Aug,40k,Asian,TX,n,n,Standard,191,EL,W,y,n,n,Rarely,Goofy,TS,United,5,6,Never,Occasionally,None,None,n,Rarely,Mad Tea Party,n,n,n,n,2QNSWV
38,Lance Macdonnell,2,1,SUNS,y,y,0,NA,Regular,0,-,-,-,5 to 52,2,27,MK,Mar,40k,Other,Europe,n,n,Standard,144,EE,W,n,n,y,Occasionally,Hook,QS,Avianca,6,5,Never,Never,None,None,n,Occasionally,Haunted Mansion,n,n,n,n,NA
39,Kelly Poli,5,4,KNS,y,y,5,1992,Regular,10,9,10,18,9 to 27,8,2,AK,Apr,65k,White,OH,n,y (nuts),Courtyard,234,EL,P,n,n,n,Never,Goofy,QS,Southwest,8,11,Occasionally,Rarely,Near,None,y,Occasionally,Muppet*Vision 3D,n,n,n,y,KSCV
40,Max Gregorich,5,2,KNS,y,y,2,2001,Regular,2,9,8,16,6 to 40,24,9,AK,May,NR,Asian,Europe,n,n,Courtyard,145,LL,W,n,n,y,Rarely,Jafar,TS,American,4,5,Never,Never,None,None,n,Rarely,Nap Time with Ben Franklin and Mark Twain,n,n,y (hearing impaired),y,KNSSV
41,Melisa Burlew,2,1,KNS,n,n,11,2008,Value,11,10,8,17,11 to 42,24,29,MK,Jan,65k,White,NC,n,y (nuts),Woods,203,EL,W,y,n,y,Frequently,Mickey,TS,United,4,6,Occasionally,Occasionally,Near,Rail,y,Rarely,Buzz Lightyear's Space Ranger Spin,n,n,n,n,SUNSSV
42,Selena Holz,1,0,KNS,y,y,3,2001,Regular,13,6,9,16,20,27,24,AK,Oct,85k,Asian,NC,n,n,Standard,223,EL,W,n,n,y,Rarely,Mickey,Snack,JetBlue,8,7,Never,Rarely,Far,None,y,Rarely,Spaceship Earth,n,n,n,y,2QNSSV
43,Max Gaetano,6,2,2QNS,n,n,12,2006,Regular,12,10,8,17,14 to 66,28,6,EP,Oct,The 1 percent,Asian,WV,n,n,Woods,221,LL,P,n,n,y,Occasionally,Scar,QS,Avianca,5,10,Never,Occasionally,None,None,n,Rarely,Walt Disney's Enchanted Tiki Room,n,n,n,n,KNSCV
44,Zelma Primo,5,3,SUNS,y,n,0,NA,Regular,0,-,-,-,2 to 28,2,4,MK,Jan,85k,White,SC,y (birthday),n,Courtyard,168,EL,P,n,"y (71, 112, 114)",y,Frequently,Hook,Snack,Delta,5,8,Occasionally,Occasionally,None,Crib,y,Occasionally,Journey into Imagination,n,n,y (wheelchair),y,NA
45,Dollie Elkin,6,2,SUNS,n,n,11,2009,Value,11,7,8,18,6 to 49,18,15,EP,May,65k,African American,Europe,y (graduation),n,Standard,172,EE,P,n,n,y,Never,Launchpad,Snack,NA,8,11,Occasionally,Rarely,None,None,y,Occasionally,Primeval Whirl,n,n,n,n,2QSCV
46,Lance Warf,5,3,KNS,n,n,9,1982,Regular,2,6,10,19,17 to 63,20,8,EP,May,The 1 percent,White,VT,n,y (environmental),Standard,176,LL,P,n,n,y,Occasionally,Pete,TS,US Air,3,11,Rarely,Never,None,None,y,Occasionally,Kilimanjaro Safaris,n,n,n,y,SUSCV
47,Kathrine Uvalle,5,2,KNS,n,n,3,1972,Regular,9,6,8,18,10 to 42,13,24,MK,Apr,85k,Other,FL,n,y (nuts),No Pref,159,EL,W,n,n,y,Occasionally,Hook,TS,Southwest,3,11,Occasionally,Never,None,None,y,Rarely,Nap Time with Ben Franklin and Mark Twain,n,n,y (wheelchair),n,2QNSCV
48,Hugh Kumm,5,4,KNS,n,n,12,1991,Regular,7,8,11,17,9 to 43,9,17,AK,Apr,100k,NR,GA,n,n,Standard,165,LL,W,n,n,y,Frequently,Goofy,Snack,AirTran,6,11,Occasionally,Frequently,Near,Crib,y,Rarely,Star Tours: The Adventure Continues,n,n,n,n,2QNSCV
49,Zelma Wehmeyer,4,2,KNS,y,n,12,1971,Peak,10,6,10,17,10 to 35,0,20,MK,Apr,85k,African American,Europe,n,n,Woods,153,LL,P,n,"y (32, 63)",n,Frequently,Ursula,TS,AirTran,6,6,Never,Rarely,None,Both,y,Frequently,Kilimanjaro Safaris,n,n,n,y,2QNSSV
50,Christian Matley,4,1,2QNS,n,n,9,1976,Value,9,8,12,18,15 to 51,13,7,MK,Sep,40k,Other,NH,n,n,Courtyard,140,EL,W,y,n,n,Never,Scar,QS,JetBlue,6,11,Occasionally,Occasionally,Far,None,y,Frequently,Maelstrom,n,n,n,y,KNSWV
51,Julio Prahl,4,1,KNS,y,y,4,1976,Value,6,7,11,16,16 to 49,29,25,EP,Sep,The 1 percent,Other,MD,n,y (nuts),No Pref,201,LL,P,n,n,n,Rarely,Launchpad,QS,NA,3,12,Never,Never,None,None,n,Frequently,Walt Disney's Enchanted Tiki Room,n,n,n,y,2QSCV
52,Lorrie Kiss,6,5,KNS,n,n,2,1971,Value,8,8,9,16,18 to 39,0,22,HS,Oct,100k,NR,AL,n,n,No Pref,219,EE,P,n,n,y,Frequently,Donald,TS,American,4,9,Rarely,Occasionally,Far,None,y,Occasionally,Primeval Whirl,n,n,n,y,2QNSCV
53,Cody Ried,1,0,KNS,n,n,5,1972,Regular,1,10,10,17,55,11,3,AK,Apr,40k,African American,Europe,n,y (animals),Standard,143,LL,P,y,n,y,Occasionally,Goofy,Snack,US Air,7,7,Never,Frequently,None,Rail,y,Frequently,Dumbo the Flying Elephant,n,n,n,n,2QNSWV
54,Javier Twiford,4,3,KNS,n,n,7,1978,Value,12,7,12,16,3 to 44,10,29,MK,Sep,65k,Hispanic,Europe,n,y (animals),Woods,141,EE,W,n,n,y,Rarely,Jafar,QS,JetBlue,3,7,Never,Rarely,Near,None,y,Occasionally,Kali River Rapids,n,n,n,n,SUNSWV
55,Lonnie Barranco,2,1,2QS,n,n,3,2001,Regular,13,6,9,17,3 to 66,6,8,EP,Aug,100k,Other,NC,n,n,Courtyard,141,LL,P,n,n,n,Rarely,Donald,QS,AirTran,3,12,Occasionally,Rarely,None,None,y,Frequently,Big Thunder Mountain,n,n,n,y,KNSSV
56,Nelson Watlington,2,0,SUNS,n,n,7,2010,Value,13,7,10,19,19 to 29,20,19,MK,Jul,100k,NR,NY,n,n,Courtyard,196,EE,W,y,n,y,Never,Jafar,Snack,United,7,5,Occasionally,Rarely,None,None,n,Occasionally,Spaceship Earth,n,n,n,n,2QNSCV
57,Erik Remley,6,1,SUNS,n,n,9,1988,Value,9,8,10,16,18 to 58,19,1,MK,Jun,85k,NR,IN,n,n,Courtyard,183,LL,W,n,n,y,Frequently,Pete,Snack,Avianca,5,12,Rarely,Occasionally,None,None,y,Rarely,Star Tours: The Adventure Continues,n,y,n,y,SUNSSV
58,Erik Wolery,6,2,SUNS,n,n,5,1979,Peak,9,10,12,16,9 to 47,14,11,AK,Sep,The 1 percent,White,Europe,y (wedding/anniversary),n,No Pref,232,EL,W,y,n,y,Never,Iago,Snack,NA,5,12,Rarely,Never,Far,None,y,Frequently,Space Mountain,n,y,n,y,2QSSV
59,Lance Riviera,6,0,SUNS,y,y,2,2005,Regular,12,9,11,16,21 to 32,4,24,AK,Feb,65k,Asian,PA,n,y (environmental),Standard,140,EE,W,y,n,n,Never,Jafar,Snack,United,7,8,Occasionally,Never,None,None,y,Frequently,Kali River Rapids,n,y,n,y,SUSCV
60,Annabelle Lafollette,4,1,KNS,n,n,1,1972,Regular,11,8,10,17,10 to 48,18,23,MK,Apr,85k,African American,NH,n,n,Standard,183,EE,P,n,n,y,Frequently,Iago,TS,AirTran,4,8,Occasionally,Occasionally,None,Both,y,Occasionally,Living with the Land,n,n,n,y,2QNSSV
61,Erik Porco,3,2,SUNS,n,n,5,2008,Peak,8,7,8,19,12 to 45,24,7,MK,Oct,The 1 percent,Asian,RI,n,n,Standard,172,EE,W,y,"y (32, 51)",y,Frequently,Launchpad,TS,Avianca,6,5,Never,Never,None,None,y,Occasionally,Splash Mountain,n,n,y (hearing impaired),n,2QNSSV
62,Clinton Cheshire,3,1,KNS,y,y,7,1997,Regular,10,7,8,16,7 to 53,0,26,AK,Sep,100k,African American,MS,n,n,Woods,220,EL,W,y,n,y,Rarely,Pete,QS,NA,5,12,Occasionally,Occasionally,None,Rail,y,Rarely,Mad Tea Party,n,n,n,n,2QNSWV
63,Lorrie Vails,5,0,SUNS,y,n,4,1989,Peak,13,9,9,18,21 to 66,19,19,EP,Jun,85k,NR,MA,n,n,Standard,165,LL,W,n,n,y,Occasionally,Ursula,QS,Southwest,7,12,Occasionally,Rarely,None,None,n,Occasionally,Buzz Lightyear's Space Ranger Spin,n,y,n,n,SUNSSV
64,Fernando Cracraft,6,4,SUNS,n,n,4,1975,Value,6,6,9,19,11 to 41,13,29,EP,Jun,NR,Other,NC,n,y (environmental),Woods,160,LL,P,y,n,y,Rarely,Ursula,TS,United,5,12,Rarely,Occasionally,None,None,n,Frequently,Mad Tea Party,y,y,n,n,SUNSSV
65,Harriett Gordillo,6,2,KNS,n,n,6,1993,Regular,1,8,11,18,16 to 25,6,10,AK,May,100k,White,Europe,n,n,Woods,199,LL,P,n,n,n,Never,Mickey,TS,United,8,9,Never,Occasionally,Far,None,y,Rarely,Primeval Whirl,n,n,n,n,SUNSSV
66,Erik Giard,3,1,2QNS,n,n,6,2000,Regular,12,6,8,17,16 to 35,20,19,MK,Jul,100k,Asian,VT,n,n,Courtyard,213,EE,W,n,n,y,Rarely,Scar,TS,JetBlue,3,7,Occasionally,Never,Near,None,n,Occasionally,Dumbo the Flying Elephant,n,n,n,n,2QNSWV
67,Lorrie Bettcher,6,2,KNS,n,n,3,1986,Regular,0,8,11,16,5 to 56,26,14,MK,Mar,100k,White,VA,n,n,Woods,201,EE,W,n,n,y,Never,Goofy,TS,Southwest,7,8,Frequently,Rarely,None,None,y,Frequently,Jungle Cruise,n,y,y (hearing impaired),n,KNSCV
68,Selena Gomer,6,2,KS,n,n,2,2003,Peak,3,6,10,19,4 to 36,6,26,AK,Feb,NR,NR,IN,n,n,No Pref,198,LL,P,y,n,y,Never,Hook,QS,United,7,7,Rarely,Frequently,Near,Rail,y,Occasionally,Kali River Rapids,y,n,n,n,2QNSWV
69,Selena Pangborn,4,1,KNS,n,n,13,2009,Value,14,8,10,18,10 to 44,24,2,MK,Sep,The 1 percent,Asian,AL,n,n,No Pref,201,EL,W,n,"y (46, 112, 114) ",y,Rarely,Donald,QS,Avianca,6,7,Never,Occasionally,None,None,y,Occasionally,It's Tough to be a Bug!,n,n,n,y,2QNSWV
70,Roxie Longwell,1,0,2QNS,y,n,9,1984,Value,10,8,11,17,66,25,5,MK,Sep,NR,Hispanic,TX,n,n,No Pref,208,LL,W,y,n,y,Frequently,Goofy,TS,NA,3,12,Rarely,Frequently,Far,None,y,Rarely,Maelstrom,y,n,n,n,KNSWV
71,Allan Pangburn,6,3,KNS,n,n,13,1994,Regular,5,8,9,19,7 to 54,18,6,MK,Apr,100k,Other,NC,n,y (environmental),Woods,208,EE,P,y,n,y,Occasionally,Jafar,TS,United,6,8,Rarely,Rarely,None,Rail,y,Frequently,Kilimanjaro Safaris,y,n,n,y,KNSWV
72,Kelly Meloy,1,0,KNS,n,n,9,2002,Peak,1,10,10,17,19,10,6,MK,Apr,85k,Asian,TX,n,n,No Pref,219,EL,W,y,n,n,Occasionally,Pete,Snack,American,7,11,Rarely,Occasionally,None,None,n,Occasionally,Living with the Land,n,n,n,n,KNSCV
73,Eve Hammar,3,1,KNS,n,n,8,1973,Value,13,8,9,19,15 to 63,0,12,EP,Feb,NR,Hispanic,Europe,n,n,Woods,183,EL,W,n,n,y,Frequently,Ursula,QS,Delta,3,8,Rarely,Rarely,None,None,y,Occasionally,Dumbo the Flying Elephant,n,n,n,n,SUSWV
74,Jessie Isabelle,3,2,2QNS,y,n,9,2002,Value,11,9,9,16,10 to 51,0,19,MK,Jun,65k,NR,MS,n,n,Courtyard,220,EE,P,n,n,y,Occasionally,Pete,TS,Southwest,8,5,Frequently,Rarely,Far,Rail,y,Rarely,Kali River Rapids,n,n,n,n,KNSCV
75,Jami Dinapoli,4,1,SUNS,y,y,5,1982,Regular,0,10,10,17,18 to 36,0,3,EP,Aug,40k,White,RI,n,y (nuts),Woods,181,EL,W,y,n,y,Never,Launchpad,Snack,NA,3,8,Never,Occasionally,Far,None,y,Occasionally,Walt Disney's Enchanted Tiki Room,n,n,n,n,2QNSWV
76,Jerri Level,6,0,SUNS,y,y,10,1971,Peak,13,8,9,18,22 to 39,4,11,MK,May,NR,White,MA,y (wedding/anniversary),n,Courtyard,206,EL,P,y,n,y,Occasionally,Pete,QS,Southwest,8,8,Never,Never,None,None,y,Rarely,Walt Disney's Enchanted Tiki Room,n,y,n,n,KSSV
77,Hugh Neagle,4,3,KNS,n,n,1,2003,Value,6,8,9,18,7 to 26,15,16,MK,Jul,The 1 percent,Asian,RI,n,n,Woods,176,LL,W,n,n,y,Rarely,Launchpad,QS,NA,7,4,Occasionally,Never,None,None,y,Occasionally,Space Mountain,n,n,n,y,2QSWV
78,Tanisha Sorber,2,1,KNS,n,n,7,1996,Value,5,9,8,17,5 to 34,13,28,EP,Jun,65k,Asian,MS,n,n,Woods,238,LL,W,y,n,n,Occasionally,Donald,QS,Southwest,8,12,Occasionally,Never,Near,None,n,Frequently,Jungle Cruise,n,n,n,y,2QNSSV
79,Kelly Tsuji,5,4,2QNS,n,n,1,1985,Value,11,10,11,17,5 to 39,14,10,EP,Apr,NR,African American,WV,n,n,Standard,231,EE,W,n,n,y,Rarely,Hook,Snack,AirTran,5,11,Frequently,Occasionally,None,None,n,Rarely,Big Thunder Mountain,n,n,n,n,SUNSSV
80,Nita Covelli,3,1,SUNS,y,y,1,1989,Value,5,7,9,17,17 to 32,22,6,MK,Jun,65k,Other,IN,n,n,No Pref,237,EE,W,y,n,y,Frequently,Launchpad,QS,Avianca,6,11,Occasionally,Never,None,None,y,Frequently,Journey into Imagination,y,n,n,n,SUNSSV
81,Lonnie Liddle,3,0,KNS,n,n,2,1977,Value,0,10,11,18,20 to 28,2,29,HS,Sep,NR,Hispanic,MD,y (graduation),n,Courtyard,143,EE,W,y,n,n,Never,Jafar,Snack,Southwest,8,6,Rarely,Rarely,None,None,y,Frequently,Maelstrom,y,n,n,n,2QNSWV
82,Julio Youngberg,1,0,KNS,y,n,9,2001,Regular,5,6,8,17,65,3,23,AK,May,85k,Other,SC,n,n,Woods,194,EE,W,n,n,y,Rarely,Hook,TS,US Air,5,9,Occasionally,Rarely,Far,None,y,Occasionally,Walt Disney's Carousel of Progress,n,n,n,y,2QNSCV
83,Poli,1,1,KNS,n,n,2,1983,Regular,11,8,12,17,14,15,7,HS,Jul,100k,NR,VA,n,n,No Pref,187,EE,W,n,n,y,Rarely,Ursula,TS,US Air,5,11,Never,Rarely,None,Rail,y,Frequently,Dumbo the Flying Elephant,n,n,y (sight impaired),y,SUNSCV
84,Mallory Perrier,3,2,2QNS,y,y,9,2001,Value,14,10,12,17,4 to 45,16,14,AK,Oct,85k,White,NY,n,n,No Pref,214,EE,P,y,n,y,Occasionally,Iago,TS,NA,8,10,Rarely,Rarely,None,Both,n,Rarely,Big Thunder Mountain,n,n,n,n,SUSCV
